domain,count
krd.sputniknews.com,26438
,12351
ronahi.tv,6379
ku.martech.zone,4549
ku.wikipedia.org,4361
ku.ilkha.com,2961
ku.m.wikipedia.org,2782
tirsik.net,2175
www.kurdistan24.net,1974
sverigesradio.se,1528
portal.netewe.com,1278
www.basnews.com,1035
www.kdp.info,1011
ku.r-enks.net,952
ku.eturbonews.com,937
felsefevan.xyz,933
ku.kongra-star.org,926
xoybun.com,912
dersiminfo.com,849
ku.geofumadas.com,815
hombresconestilo.com,774
www.recursosdeautoayuda.com,769
zinarexamo.blogspot.com,767
ku.tierient.com,753
kmr.abna24.com,743
www.e-rojname.com,695
tev-dem.com,693
anfkirmancki.com,692
pajk.org,683
www.fetwayenkurdi.com,665
medmuzik.tv,650
www.saveatrain.com,642
www.rudaw.net,639
ku.rayhaber.com,637
www.kelhaamed.com,623
www.pukmedia.com,596
www.tirsik.net,584
www.aa.com.tr,581
amude.net,568
www.cinarinsesi.com,563
communalnews.com,554
www.kurdishinstitute.be,553
peyamakurd.com,536
bangeislami.com,534
ypj-office.com,532
anfkurdishmobile.com,531
www.newayajin.net,515
kurdx.com,506
ku.everydayprayerguide.com,493
avestakurd.net,484
bianet.org,472
zinarala.wordpress.com,460
www.ufkumuzhaber.com,451
ku.thespeedcube.com,436
kurdi.yekiti-media.org,431
ez.armradio.am,428
rojnameyawelat2.com,427
www.rewanbej.com,426
www.felsefevan.org,419
www.actualidadliteratura.com,419
www.amidakurd.net,412
ku.eferrit.com,403
www.pirtukakurdi.com,392
kurdistantv.net,383
ku.worldtourismportal.com,381
thelawschooldecision.com,367
pydrojava.org,365
ku.s-e-v-e-n.com,360
cira.fm,353
peyamakurd.org,350
bnk.institutkurde.org,333
www.rojnameyakurdistan.com,329
nucexane.wordpress.com,329
www.lisyayinevi.com,322
m.bianet.org,320
bakur.tv,319
kovarabir.com,317
kurd.amarikesardar.com,317
iphoneislam.com,315
www.yuksekovahaber.com.tr,314
lifebogger.com,309
www.bezzia.com,309
fkks.se,308
m.nerinaazad.org,306
www.peyamakurd.org,305
sinemayaserbixwe.com,303
www.sinews03.ca,301
kelhaamed.com,297
www.yuksekovahaber.com,291
www.renovablesverdes.com,289
www.ypgrojava.org,289
krd.ronahi.net,288
ku.micvd.com,285
writebols2liberia.org,283
welateme.net,282
lemonde-kurdi.net,281
www.kurdistanmedia.com,278
lawandmore.info,278
ronahi.net,275
wer-ger.com,272
www.haberazad.com,270
pydrojava.net,270
