domain,count
,41290
www.bbc.co.uk,14510
cy.wikipedia.org,12139
golwg360.cymru,11207
cy.m.wikipedia.org,8166
llyw.cymru,7628
www.bbc.com,7343
www.bangor.ac.uk,7100
cy.martech.zone,6604
www.cardiff.ac.uk,6534
cy.eureporter.co,6262
golwg.360.cymru,5533
www.swansea.ac.uk,4895
newspapers.library.wales,4838
testunau.org,4617
www.aber.ac.uk,4003
cy.hiloved.com,3912
cy.wondershare.com,2736
businesswales.gov.wales,2667
lleol.cymru,2632
wales.gov.uk,2457
www.lleol.cymru,2360
cy.powys.gov.uk,2069
newyddion.wrecsam.gov.uk,2065
cy.tierient.com,2065
www.rctcbc.gov.uk,1942
www.soydemac.com,1929
www.biblesociety.org.uk,1905
cy.chatroulette20.com,1890
www.bridgend.gov.uk,1860
uwtsd.ac.uk,1794
www.amgueddfacymru.ac.uk,1694
cy.geofumadas.com,1472
amgueddfa.cymru,1461
selar.cymru,1451
naturalresources.wales,1441
www.abertawe.gov.uk,1433
www.ceredigion.gov.uk,1374
www.valeofglamorgan.gov.uk,1368
www.s4c.cymru,1339
rexonline.co.uk,1334
blogs.cardiff.ac.uk,1317
www.caerdydd.ac.uk,1307
news.bbc.co.uk,1229
oclmenai.blogspot.com,1185
www.sir-benfro.gov.uk,1185
bywgraffiadur.cymru,1183
newyddion.s4c.cymru,1139
www.glyndwr.ac.uk,1101
newyddioncaerdydd.co.uk,1096
papuraunewydd.llyfrgell.cymru,1078
www.siryfflint.gov.uk,1064
gov.wales,1063
www.uwtsd.ac.uk,1056
www.ylolfa.com,1020
www.biblegateway.com,1018
journals.library.wales,996
www.sirgar.llyw.cymru,986
www.plaid.cymru,975
cymru.assemblies.org.uk,953
cymdeithas.cymru,937
www.actualidadgadget.com,935
www.nationaltrust.org.uk,933
www.gwynedd.llyw.cymru,931
asturiasyngymraeg.wordpress.com,929
www.meteorologiaenred.com,913
new.wales.gov.uk,894
www.open.edu,887
www.southwalesbusiness.co.uk,860
www.conwy.gov.uk,855
www.poblcaerdydd.com,849
www.southwales.ac.uk,846
hombresconestilo.com,842
www.dyfed-powys.police.uk,822
busnes.senedd.cymru,820
www.legislation.gov.uk,787
seneddymchwil.blog,785
www.food.gov.uk,778
www.actualidadiphone.com,778
cyfarfodyddpwyllgor.siryfflint.gov.uk,778
www.ofcom.org.uk,777
www.moneyadviceservice.org.uk,762
cy.pacificrimstreetfest.com,756
cristnogaeth21.cymru,751
cy.everydayprayerguide.com,750
www.internetmatters.org,746
www.mudiad-efengylaidd.org,740
www.cymraeg.traveline.cymru,727
aber.ac.uk,726
www.nptcgroup.ac.uk,723
www.dailypost.co.uk,721
senedd.cymru,719
www.coleggwent.ac.uk,717
cadw.gov.wales,699
www.moneyhelper.org.uk,694
www.cymoedd.ac.uk,690
www.torfaen.gov.uk,682
www.llyfrgell.cymru,653
help.blackboard.com,652
cy.extendoffice.com,649
www.saveatrain.com,646
www.actualidadliteratura.com,617
www.jw.org,614
cy.slots4play.com,609
walesnewsonline.com,603
www.chwaraeon.cymru,602
naturalresourceswales.gov.uk,601
cymru1914.org,598
images-1.swan.ac.uk,597
wcva.cymru,596
www.s4c.co.uk,594
cymraeg.cambria.ac.uk,591
cyfryngau.gwasanaeth.llyw.cymru,585
www.arfordirpenfro.cymru,581
cy.broadcastbeat.com,579
www.blogiadur.com,576
www.wmc.org.uk,576
icc.gig.cymru,572
www.llenyddiaethcymru.org,572
www.colegsirgar.ac.uk,553
aagic.gig.cymru,553
cy.flatpyramid.com,551
democratiaeth.ynysmon.gov.uk,549
www.powys.gov.uk,549
www.careerswales.com,540
complexfluids.swansea.ac.uk,536
maes-e.com,536
extraoglasi.com,532
www.goconstruct.org,532
www.wlga.cymru,531
abertawe.gov.uk,530
www.south-wales.police.uk,530
developmentbank.wales,527
www.audit.wales,516
bipba.gig.cymru,515
emmareese.blogspot.com,513
www.exchangewales.org,512
bipbc.gig.cymru,511
cy.rayhaber.com,509
democratiaeth.sirgar.llyw.cymru,507
cy.suenee.cz,503
cy.planetlibre.es,502
old.assemblies.org.uk,502
meddwl.org,501
www.caerffili.gov.uk,496
cof.uwchgwyrfai.cymru,496
tiktak-exlusives.news,493
cy.wevino.store,488
www.stepbible.org,484
pigion.wordpress.com,480
prnewslink.net,476
stokepic.com,475
garddfotaneg.cymru,474
www.ferryto.com,472
broaber.360.cymru,472
rhysllwyd.com,471
www.scarlets.wales,466
www.cambria.ac.uk,466
